stars,comment,title,review_date
5.0,"









  
  
    
  This is genuine Samsung Microsd card manufactured in Philipines an imported by Samsung India. It also carries a Samsung hologram.

  
",Genuine Product,27-Apr-18
5.0,"









  
  
    
  Simply mind blowing product .. flawlessly recording of 4k recording.The write speed of the card is good. If u want to check ur card speed simply buy USB 3 card reader and put ur memory card in it then plug it to usb 3 port of ur laptop or computer what u have. I got write speed of 75 mb/sec and read speed to 90 mb/sec.There is lots of fake card available in online..if u want to purchase card simply ask the seller about it from where is it made from like made in China,Japan, Europe,korea, Philippines or Vietnam.Don't buy made in china very poor quality .Made in Vietnam is super quality but not available in India.Made in Philippines , Japan or Korea is best I have tested and I got good respond on it.

  
",Simply mind blowing card,02-Aug-18
1.0,"









  
  
    
  This is unbelievable, got malfunctioned in 2 weeks to my surprise. Inserted in mobile later and can't read. Took to replace, the guy checked. Result was same except for visibility on desktop, we were left clueless. Replacement on way since a week. Hope it doesn't take ages.

  
",Not readable after 2 weeks,28-Jan-18
5.0,"









  
  
    
  Nothing to say...only WOW... Speed is amazing.. earlier I was using aandil 32 gb class 10 for my samsung note3...while copying items from phone memory to card, I was getting a speed of average 4-5mb speed...Now it's 35-40mb speed... REALLY,BRAND NAME DOES MATTERS...

  
",Great value for money...,18-Aug-18
5.0,"









  
  
    
  I was having a terrible time with my class4 transcend card so New memory card purchase was inevitable ! As i have more trust - i went for samsung.Got this one for 650rs. Packaging was good for a  small memory card.This card is blazing fast both in read and write😊I got write speed ranging between 15-25 mbps which is awesome ! I could easily transefer the whole Harry potter to my phone within 15 mins.I am super happy with this purchase🖐🏻5 out of 5🖐🏻

  
",■ A W E S O M E ■,28-Mar-18
1.0,"









  
  
    
  Within 4 months it get damaged on its own n is even  showing undetectable in any devices..! :(And not sure about its return policy....!! Don't buy it ever!😔

  
","Disappointed,not a good product",04-Dec-18
5.0,"









  
  
    
  Go through my review once before buying this memory card.Using this memory card since a month now. Packaging has hologram so I'm relieved about genuineness. This card was my first choice as it supports 4K recording so I'm using it in both action camera and mobile.Performance : 95%Quality : 95%Features : 90%Value for money : 95%Overall Rating: 94%PERFORMANCE :I did benchmark tests & performance was considerable. Read & write speeds are not what Samsung advertised but it's acceptable as performance varies with many factors.BENCHMARK RESULT :Read : 84 MB/sWrite : 42 MB/s[ Check screenshots added with review ]HARDWARE :This memory card is Class 10 UHS - I U3 certified. It's water-proof, temperature proof, magnet proof and X-Ray proof as well so I'm not worried about any loss of data under such conditions.FINAL VERDICT :Samsung Evo Plus is an easy buy because it's fast enough for a smartphone or tablet and action camera as well. It comes with a full-size SD adapter, so don't worry about buying one separately and also it comes with 10 year warranty for peace of mind.I hope this helped you.

  
",ALL ROUNDER [ READ FULL REVIEW BEFORE BUYING ],04-Dec-18
2.0,"









  
  
    
  Very badStorage capacity very bad.Value for money zero.1) when I go for feed back on my order 128gb memory card , it's goes on my old order of 64gb memory card.2) when I compare my 64gb memory card & new 128gb card ..Both are same class i order but look so different in colour & matireal.3) when I put new 128gb memory card in mobile , it's instantly restart automatically.4)  i format new 128gb memory card and put 300mb & 800mb files for check deta transfer speed it's stuck and saw me read & write error and instantly restart again my mobile and saw me transfer speed 00kb ....very bad experience this time....I give 2 star due to Amazon service either this time I got very bad memory card & product.

  
",Waste of money,04-Dec-18
1.0,"









  
  
    
  I purchased the best card available then, manufactured by a company like SAMSUNG. It just stopped working suddenly. The funniest part is, you can see the content on a laptop, but can't write, delete or even format (tried DOS formatting also). When inserted in the phone, it's not detected. Tried inserting in several phones, so no issue with the phone. Incidentally, the phone is also a high-end Samsung. Really frustrated with the quality. Samsung, please improve the quality of your products.

  
","Stopped working within a year, suddenly",04-Dec-18
1.0,"









  
  
    
  Samsung Note 8 can't read/detect this card. Plus tried on another phone as well. Couldn't read on that also. Sending it back. So replacing it with a similar unusable card won't help. Couldn't find a money back option, only replacement. Can seller please contact me?

  
",Samsung Note 8 can't read/detect this card,06-Sep-18
5.0,"









  
  
    
  Read and write speed is really good. It is been more than a month and working great. Highly recommend this product to all. Look for lighting deal for best price to buy.

  
",Great product with no issues,10-Jun-18
4.0,"









  
  
    
  I got the 64 gigs version of this microSD card for my Poco F1 at 1000 bucks. Had an old 32 gigs card before, where I had all my media library. I backed it up to my laptop, then transferred it to this new card. Got a steady 20 MB/s speed for moving around 20 gigs of data. But when transferring media from my phone to this card, it maintained a speed of around 80 MB/s. Overall, I'm happy with this purchase.

  
",Great card to buy on discount.,17-Oct-17
4.0,"









  
  
    
  First of all thank Amazon for wonderful fast delivery before time.  The product is good  I am already using samsung 4 memory cards of 16GB, 32GB,  64 GB and this new one 64GB .  Samsung is a good brand like sandisk is also a good one but it charge prices more than other brands that is too bad,  not fair enough.  Coming to durability I'm using others from past 5 yrs no issues till now,  next one about its quality very good,  now. If I talk about  about  it's storage capacity it disappoints me little bit as it actually offers 59GB(approx)  out 64GB ,I don't know what the hell is remaining 5Gb,  they are doing means it contains application or system apps.  But still 5GB is a very big storage which is proving to be unuseful.  Otherwise overall good.

  
","Good quality,  price is high,  storage is ok.",11-Oct-17
5.0,"









  
  
    
  Delivered on second day.. useable memory is 28GB ... bought it for 619... mrp is 1,100.. highly recommended at this price..and most important the pqckaging says manufactured in september 2017 so complete 10 yrs warranty

  
",Buy it ..,06-Feb-18
